Date,vix,unemployment,inflation,mort30us
2006-03-01,0,1,8,7
2006-03-02,0,1,8,7
2006-03-03,0,1,8,7
2006-03-06,1,1,8,7
2006-03-07,1,1,8,7
2006-03-08,1,1,8,7
2006-03-09,1,1,8,7
2006-03-10,0,1,8,7
2006-03-13,0,1,8,7
2006-03-14,0,1,8,7
2006-03-15,0,1,8,7
2006-03-16,0,1,8,7
2006-03-17,0,1,8,7
2006-03-20,0,1,8,7
2006-03-21,0,1,8,7
2006-03-22,0,1,8,7
2006-03-23,0,1,8,7
2006-03-24,0,1,8,7
2006-03-27,0,1,8,7
2006-03-28,0,1,8,7
2006-03-29,0,1,8,7
2006-03-30,0,1,8,7
2006-03-31,0,1,8,7
2006-04-03,0,1,8,7
2006-04-04,0,1,8,7
2006-04-05,0,1,8,7
2006-04-06,0,1,8,7
2006-04-07,1,1,8,7
2006-04-10,0,1,8,7
2006-04-11,1,1,8,7
2006-04-12,1,1,8,7
2006-04-13,1,1,8,7
2006-04-17,1,1,8,7
2006-04-18,0,1,8,7
2006-04-19,0,1,8,7
2006-04-20,0,1,8,7
2006-04-21,0,1,8,7
2006-04-24,0,1,8,7
2006-04-25,0,1,8,7
2006-04-26,0,1,8,7
2006-04-27,0,1,8,7
2006-04-28,0,1,8,7
2006-05-01,1,0,7,7
2006-05-02,0,0,7,7
2006-05-03,0,0,7,7
2006-05-04,0,0,7,7
2006-05-05,0,0,7,7
2006-05-08,0,0,7,7
2006-05-09,0,0,7,7
2006-05-10,0,0,7,7
2006-05-11,1,0,7,7
2006-05-12,2,0,7,7
2006-05-15,2,0,7,7
2006-05-16,1,0,7,7
2006-05-17,3,0,7,7
2006-05-18,4,0,7,7
2006-05-19,4,0,7,7
2006-05-22,4,0,7,7
2006-05-23,5,0,7,7
2006-05-24,4,0,7,7
2006-05-25,3,0,7,7
2006-05-26,2,0,7,7
2006-05-30,5,0,7,7
2006-05-31,3,0,7,8
2006-06-01,2,1,6,8
2006-06-02,2,1,6,8
2006-06-05,4,1,6,8
2006-06-06,4,1,6,8
2006-06-07,4,1,6,8
2006-06-08,5,1,6,8
2006-06-09,5,1,6,8
2006-06-12,6,1,6,8
2006-06-13,7,1,6,8
2006-06-14,6,1,6,8
2006-06-15,3,1,6,8
2006-06-16,4,1,6,8
2006-06-19,4,1,6,8
2006-06-20,4,1,6,8
2006-06-21,3,1,6,8
2006-06-22,3,1,6,8
2006-06-23,3,1,6,8
2006-06-26,3,1,6,8
2006-06-27,3,1,6,8
2006-06-28,3,1,6,8
2006-06-29,1,1,6,8
2006-06-30,1,1,6,7
2006-07-03,1,1,6,7
2006-07-05,2,1,6,7
2006-07-06,2,1,6,7
2006-07-07,2,1,6,7
2006-07-10,2,1,6,7
2006-07-11,1,1,6,7
2006-07-12,2,1,6,7
2006-07-13,4,1,6,7
2006-07-14,5,1,6,7
2006-07-17,5,1,6,7
2006-07-18,4,1,6,7
2006-07-19,3,1,6,7
2006-07-20,3,1,6,7
2006-07-21,4,1,6,7
2006-07-24,3,1,6,7
2006-07-25,2,1,6,7
2006-07-26,2,1,6,7
2006-07-27,3,1,6,7
2006-07-28,2,1,6,7
2006-07-31,3,1,6,3
2006-08-01,3,1,6,3
2006-08-02,2,1,6,3
2006-08-03,2,1,6,3
2006-08-04,2,1,6,3
2006-08-07,3,1,6,3
2006-08-08,3,1,6,3
2006-08-09,3,1,6,3
2006-08-10,2,1,6,3
2006-08-11,2,1,6,3
2006-08-14,2,1,6,3
2006-08-15,1,1,6,3
2006-08-16,1,1,6,3
2006-08-17,1,1,6,3
2006-08-18,0,1,6,3
2006-08-21,0,1,6,3
2006-08-22,0,1,6,3
2006-08-23,1,1,6,3
2006-08-24,1,1,6,3
2006-08-25,1,1,6,3
2006-08-28,0,1,6,3
2006-08-29,1,1,6,3
2006-08-30,0,1,6,3
2006-08-31,1,1,6,0
2006-09-01,0,0,0,0
2006-09-05,1,0,0,0
2006-09-06,2,0,0,0
2006-09-07,2,0,0,0
2006-09-08,1,0,0,0
2006-09-11,1,0,0,0
2006-09-12,0,0,0,0
2006-09-13,0,0,0,0
2006-09-14,0,0,0,0
2006-09-15,0,0,0,0
2006-09-18,0,0,0,0
2006-09-19,0,0,0,0
2006-09-20,0,0,0,0
2006-09-21,1,0,0,0
2006-09-22,1,0,0,0
2006-09-25,0,0,0,0
2006-09-26,0,0,0,0
2006-09-27,0,0,0,0
2006-09-28,0,0,0,0
2006-09-29,0,0,0,0
2006-10-02,1,0,0,0
2006-10-03,1,0,0,0
2006-10-04,0,0,0,0
2006-10-05,0,0,0,0
2006-10-06,0,0,0,0
2006-10-09,0,0,0,0
2006-10-10,0,0,0,0
2006-10-11,0,0,0,0
2006-10-12,0,0,0,0
2006-10-13,0,0,0,0
2006-10-16,0,0,0,0
2006-10-17,0,0,0,0
2006-10-18,0,0,0,0
2006-10-19,0,0,0,0
2006-10-20,0,0,0,0
2006-10-23,0,0,0,0
2006-10-24,0,0,0,0
2006-10-25,0,0,0,0
2006-10-26,0,0,0,0
2006-10-27,0,0,0,0
2006-10-30,0,0,0,0
2006-10-31,0,0,0,3
2006-11-01,0,0,3,3
2006-11-02,0,0,3,3
2006-11-03,0,0,3,3
2006-11-06,0,0,3,3
2006-11-07,0,0,3,3
2006-11-08,0,0,3,3
2006-11-09,0,0,3,3
2006-11-10,0,0,3,3
2006-11-13,0,0,3,3
2006-11-14,0,0,3,3
2006-11-15,0,0,3,3
2006-11-16,0,0,3,3
2006-11-17,0,0,3,3
2006-11-20,0,0,3,3
2006-11-21,0,0,3,3
2006-11-22,0,0,3,3
2006-11-24,0,0,3,3
2006-11-27,1,0,3,3
2006-11-28,0,0,3,3
2006-11-29,0,0,3,3
2006-11-30,0,0,3,1
2006-12-01,0,0,5,1
2006-12-04,0,0,5,1
2006-12-05,0,0,5,1
2006-12-06,0,0,5,1
2006-12-07,1,0,5,1
2006-12-08,0,0,5,1
2006-12-11,0,0,5,1
2006-12-12,0,0,5,1
2006-12-13,0,0,5,1
2006-12-14,0,0,5,1
2006-12-15,0,0,5,1
2006-12-18,0,0,5,1
2006-12-19,0,0,5,1
2006-12-20,0,0,5,1
2006-12-21,0,0,5,1
2006-12-22,0,0,5,1
2006-12-26,0,0,5,1
2006-12-27,0,0,5,1
2006-12-28,0,0,5,1
2006-12-29,0,0,5,1
2007-01-03,0,0,5,1
2007-01-04,0,0,5,1
2007-01-05,0,0,5,1
2007-01-08,0,0,5,1
2007-01-09,0,0,5,1
2007-01-10,0,0,5,1
2007-01-11,0,0,5,1
2007-01-12,0,0,5,1
2007-01-16,0,0,5,1
2007-01-17,0,0,5,1
2007-01-18,0,0,5,1
2007-01-19,0,0,5,1
2007-01-22,0,0,5,1
2007-01-23,0,0,5,1
2007-01-24,0,0,5,1
2007-01-25,0,0,5,1
2007-01-26,0,0,5,1
2007-01-29,0,0,5,1
2007-01-30,0,0,5,1
2007-01-31,0,0,5,7
2007-02-01,0,2,8,7
2007-02-02,0,2,8,7
2007-02-05,0,2,8,7
2007-02-06,0,2,8,7
2007-02-07,0,2,8,7
2007-02-08,0,2,8,7
2007-02-09,0,2,8,7
2007-02-12,0,2,8,7
2007-02-13,0,2,8,7
2007-02-14,0,2,8,7
2007-02-15,0,2,8,7
2007-02-16,0,2,8,7
2007-02-20,0,2,8,7
2007-02-21,0,2,8,7
2007-02-22,0,2,8,7
2007-02-23,0,2,8,7
2007-02-26,0,2,8,7
2007-02-27,5,2,8,7
2007-02-28,3,2,8,3
2007-03-01,3,0,9,3
2007-03-02,5,0,9,3
2007-03-05,5,0,9,3
2007-03-06,3,0,9,3
2007-03-07,3,0,9,3
2007-03-08,2,0,9,3
2007-03-09,2,0,9,3
2007-03-12,2,0,9,3
2007-03-13,5,0,9,3
2007-03-14,4,0,9,3
2007-03-15,3,0,9,3
2007-03-16,4,0,9,3
2007-03-19,2,0,9,3
2007-03-20,1,0,9,3
2007-03-21,0,0,9,3
2007-03-22,1,0,9,3
2007-03-23,1,0,9,3
2007-03-26,1,0,9,3
2007-03-27,2,0,9,3
2007-03-28,3,0,9,3
2007-03-29,3,0,9,3
2007-03-30,2,0,9,3
2007-04-02,2,0,9,3
2007-04-03,2,0,9,3
2007-04-04,1,0,9,3
2007-04-05,1,0,9,3
2007-04-09,1,0,9,3
2007-04-10,1,0,9,3
2007-04-11,2,0,9,3
2007-04-12,1,0,9,3
2007-04-13,0,0,9,3
2007-04-16,0,0,9,3
2007-04-17,0,0,9,3
2007-04-18,1,0,9,3
2007-04-19,1,0,9,3
2007-04-20,0,0,9,3
2007-04-23,1,0,9,3
2007-04-24,1,0,9,3
2007-04-25,1,0,9,3
2007-04-26,1,0,9,3
2007-04-27,1,0,9,3
2007-04-30,2,0,9,5
2007-05-01,2,0,8,5
2007-05-02,1,0,8,5
2007-05-03,1,0,8,5
2007-05-04,1,0,8,5
