date,mktrf,smb,hml,rf,umd
01/04/1960,-0.000300,0.006000,0.007000,0.00017,-0.007900
01/05/1960,0.007800,-0.004000,0.005400,0.00017,-0.005000
01/06/1960,-0.004700,0.001300,0.003600,0.00017,0.000800
01/07/1960,-0.006500,0.003700,0.000800,0.00017,-0.003100
01/08/1960,-0.003300,0.001800,0.001000,0.00017,-0.004400
01/11/1960,-0.011500,0.004800,0.003200,0.00017,-0.001200
01/12/1960,-0.005800,0.000100,0.004500,0.00017,-0.005000
01/13/1960,-0.005300,0.003800,0.000400,0.00017,-0.000300
01/14/1960,0.005600,-0.002000,0.001300,0.00017,-0.001200
01/15/1960,0.000100,0.003800,0.001500,0.00017,0.001800
01/18/1960,-0.008400,0.002200,-0.002300,0.00017,-0.003000
01/19/1960,-0.010000,0.000100,0.002500,0.00017,-0.002700
01/20/1960,-0.003000,0.001800,0.000700,0.00017,0.001500
01/21/1960,0.002200,0.000300,0.002200,0.00017,0.001500
01/22/1960,0.002800,0.000400,-0.002500,0.00017,-0.000800
01/25/1960,-0.010500,-0.001400,-0.001000,0.00017,-0.002500
01/26/1960,0.001500,-0.001800,0.001600,0.00017,-0.000600
01/27/1960,-0.002800,-0.000300,0.001300,0.00017,-0.000400
01/28/1960,-0.010000,0.004200,-0.001800,0.00017,-0.002100
01/29/1960,-0.009700,-0.002800,-0.000700,0.00017,-0.006600
02/01/1960,0.005000,-0.005000,-0.002200,0.00014,0.000600
02/02/1960,0.015400,-0.001700,-0.004300,0.00014,0.011200
02/03/1960,-0.008300,0.003100,-0.000200,0.00014,0.001000
02/04/1960,-0.000800,-0.000800,0.001900,0.00014,0.000600
02/05/1960,-0.004900,-0.003000,-0.000200,0.00014,-0.001900
02/08/1960,-0.010100,0.000700,-0.000500,0.00014,-0.002200
02/09/1960,0.008900,-0.001000,-0.000400,0.00014,0.000400
02/10/1960,-0.005700,0.003600,0.000900,0.00014,0.000400
02/11/1960,-0.005100,0.002500,0.004000,0.00014,-0.001200
02/12/1960,0.004500,-0.003700,0.001700,0.00014,0.001200
02/15/1960,-0.005000,0.002400,0.001000,0.00014,-0.001000
02/16/1960,-0.008800,-0.002400,-0.002300,0.00014,-0.000300
02/17/1960,0.006300,0.000400,-0.002100,0.00014,-0.001700
02/18/1960,0.013700,0.000800,-0.004900,0.00014,-0.000800
02/19/1960,0.007200,-0.000900,0.001400,0.00014,0.002600
02/23/1960,-0.005000,0.004300,-0.002100,0.00014,0.004700
02/24/1960,-0.002900,0.002700,-0.001900,0.00014,0.003200
02/25/1960,0.004500,0.000300,0.000900,0.00014,0.004200
02/26/1960,0.004200,0.002000,-0.005400,0.00014,0.003000
02/29/1960,-0.000800,0.000800,-0.005100,0.00014,0.001900
03/01/1960,-0.001500,0.001200,-0.002100,0.00015,0.001100
03/02/1960,-0.007100,-0.000500,-0.001400,0.00015,-0.001000
03/03/1960,-0.015400,-0.000600,-0.003200,0.00015,-0.002700
03/04/1960,-0.003900,-0.004800,-0.005900,0.00015,-0.000900
03/07/1960,-0.011000,0.001700,-0.001400,0.00015,0.000100
03/08/1960,-0.009400,-0.002600,-0.001500,0.00015,-0.001300
03/09/1960,0.011000,-0.001600,0.003400,0.00015,0.004000
03/10/1960,-0.003400,0.005200,0.003100,0.00015,0.000100
03/11/1960,0.007300,0.001000,-0.000500,0.00015,-0.000900
03/14/1960,0.001800,0.000400,-0.001200,0.00015,0.004100
03/15/1960,0.007800,-0.003000,0.000600,0.00015,-0.000200
03/16/1960,0.005200,0.001100,0.000400,0.00015,-0.002300
03/17/1960,-0.001800,0.002100,-0.002800,0.00015,0.000100
03/18/1960,0.000600,0.000900,-0.002500,0.00015,0.000600
03/21/1960,0.000900,-0.003000,-0.002200,0.00015,-0.000100
03/22/1960,0.003600,-0.004400,-0.000400,0.00015,0.004000
03/23/1960,0.007600,-0.003200,-0.002600,0.00015,-0.002700
